ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
GOOG
META
BRK-B
AVGO
TSLA
JPM
V
UNH
XOM
LLY
JNJ
WMT
MA
PG
COST
HD
NFLX
ABBV
BAC
ORCL
KO
CRM
CVX
AMD
PEP
TMO
ACN
LIN
MCD
CSCO
ABT
DHR
DIS
WFC
PM
IBM
CAT
GE
VZ
TXN
NOW
AMGN
ISRG
QCOM
INTU
AMAT
SPGI
BKNG
GS
BLK
LOW
SYK
GILD
ADP
DE
PLD
REGN
MDLZ
ADI
LRCX
CI
MMC
CME
MO
SO
DUK
CB
AMT
SHW
ICE
PANW
NEE
EQIX
ZTS
CL
TGT
UPS
FISV
CCI
BDY
HCA
APD
EOG
SLB
PXD
COP
OXY
MPC
PSX
VLO
KMI
WMB
ET
ROK
UNP
NSC
WM
RSG
NOC
LMT
GD
RTX
BA
HON
ITW
EMR
PH
ETN
TT
JCI
CARR
FDX
ODFL
FAST
GWW
PCAR
URI
AON
AJG
ALL
PGR
TRV
MET
PRU
AIG
HIG
AFL
AXP
COF
DFS
SYF
USB
PNC
TFC
BK
STT
SCHW
MS
C
FITB
RF
KEY
HBAN
CFG
CMA
ZION
MTB
NTRS
AMP
BEN
TROW
KKR
APO
BX
O
AIV
SPG
EQR
AVB
ESS
VTR
ARE
WELL
PSA
EXR
DLR
WY
SBAC
IRM
CSGP
KIM
FRT
BXP
MAA
UDR
INVH
DHI
LEN
PHM
TOL
NVR
KBH
FANG
DVN
HAL
BKR
APA
HES
MRO
CTRA
EQT
OKE
TRGP
LNG
NEM
FCX
NUE
STLD
CLF
X
AA
CF
MOS
LYB
DOW
DD
EMN
ECL
ALB
CE
CTVA
FMC
SJM
GIS
K
KHC
HSY
MKC
CPB
HRL
TSN
KR
SYY
DG
DLTR
ROST
TJX
NKE
LULU
SBUX
YUM
CMG
DPZ
QSR
MAR
HLT
MGM
LVS
WYNN
CCL
RCL
EXPE
ABNB
UBER
DASH
ORLY
AZO
AAP
TSCO
WBA
CVS
HUM
ELV
CNC
MOH
UHS
RMD
EW
BSX
MDT
BDX
ZBH
STE
IDXX
MCK
CAH
COR
A
MRNA
BIIB
VRTX
ILMN
DXCM
TTD
CRWD
SNOW
DDOG
MDB
NET
ZS
OKTA
HUBS
TEAM
WDAY
ANET
CDNS
SNPS
KLAC
MU
WDC
STX
SWKS
MCHP
NXPI
ON
MPWR
QRVO
INTC
ASML
SMCI
ARM
RIVN
F
GM
TM
STLA
HMC
NIO
BABA
JD
PDD
MELI
SE
SHOP
SQ
PYPL
COIN
HOOD
PLTR
RBLX
EA
TTWO
ATVI
PARA
WBD
